county,Hazard,fiscalYear,totalSubapplicationAmount,COUNTYNAME
02230,none,2020,0.0,Skagway Municipality
02230,none,2021,0.0,Skagway Municipality
02230,Unidentified disaster,2022,1623037.55,Skagway Municipality
02230,none,2023,0.0,Skagway Municipality
02240,none,2020,0.0,Southeast Fairbanks Census Area
02240,none,2021,0.0,Southeast Fairbanks Census Area
02240,none,2022,0.0,Southeast Fairbanks Census Area
02240,none,2023,0.0,Southeast Fairbanks Census Area
02275,none,2020,0.0,Wrangell City and Borough
02275,none,2021,0.0,Wrangell City and Borough
02275,none,2022,0.0,Wrangell City and Borough
02275,none,2023,0.0,Wrangell City and Borough
02282,none,2020,0.0,Yakutat City and Borough
02282,none,2021,0.0,Yakutat City and Borough
02282,none,2022,0.0,Yakutat City and Borough
02282,Unidentified disaster,2023,101400.0,Yakutat City and Borough
02290,Unidentified disaster,2020,2260640.0,Yukon-Koyukuk Census Area
02290,none,2021,0.0,Yukon-Koyukuk Census Area
02290,Unidentified disaster,2022,70416.5,Yukon-Koyukuk Census Area
02290,none,2023,0.0,Yukon-Koyukuk Census Area
04001,Unidentified disaster,2020,1247273.52,Apache County
04001,Unidentified disaster,2021,726187.0,Apache County
04001,none,2022,0.0,Apache County
04001,none,2023,0.0,Apache County
04003,none,2020,0.0,Cochise County
04003,Unidentified disaster,2021,51337950.0,Cochise County
04003,Unidentified disaster,2022,71941071.0,Cochise County
04003,Unidentified disaster,2023,72365935.16,Cochise County
04005,Unidentified disaster,2020,1324472.0,Coconino County
04005,Unidentified disaster,2021,3485452.88,Coconino County
04005,Unidentified disaster,2022,53108146.0,Coconino County
04005,Unidentified disaster,2023,2301895.9,Coconino County
04007,none,2020,0.0,Gila County
04007,none,2021,0.0,Gila County
04007,Unidentified disaster,2022,570000.0,Gila County
04007,Unidentified disaster,2023,583581.56,Gila County
04009,none,2020,0.0,Graham County
04009,none,2021,0.0,Graham County
04009,none,2022,0.0,Graham County
04009,none,2023,0.0,Graham County
04011,none,2020,0.0,Greenlee County
04011,none,2021,0.0,Greenlee County
04011,none,2022,0.0,Greenlee County
04011,none,2023,0.0,Greenlee County
04012,Unidentified disaster,2020,50093.12,La Paz County
04012,none,2021,0.0,La Paz County
04012,none,2022,0.0,La Paz County
04012,none,2023,0.0,La Paz County
04013,Unidentified disaster,2020,6191665.42,Maricopa County
04013,Unidentified disaster,2021,9869.95,Maricopa County
04013,Unidentified disaster,2022,142546558.72,Maricopa County
04013,Unidentified disaster,2023,46570510.099999994,Maricopa County
04015,none,2020,0.0,Mohave County
04015,none,2021,0.0,Mohave County
04015,none,2022,0.0,Mohave County
04015,Unidentified disaster,2023,8250000.0,Mohave County
04017,none,2020,0.0,Navajo County
04017,Unidentified disaster,2021,3839258.0,Navajo County
04017,none,2022,0.0,Navajo County
04017,Unidentified disaster,2023,167448.0,Navajo County
04019,Unidentified disaster,2020,6705000.109999999,Pima County
04019,Unidentified disaster,2021,8939588.559999999,Pima County
04019,none,2022,0.0,Pima County
04019,Unidentified disaster,2023,228658.31,Pima County
04021,Unidentified disaster,2020,592500.0,Pinal County
04021,none,2021,0.0,Pinal County
04021,Unidentified disaster,2022,118502618.0,Pinal County
04021,Unidentified disaster,2023,1230000.0,Pinal County
04023,none,2020,0.0,Santa Cruz County
04023,none,2021,0.0,Santa Cruz County
04023,none,2022,0.0,Santa Cruz County
04023,none,2023,0.0,Santa Cruz County
04025,Unidentified disaster,2020,788850.0,Yavapai County
04025,none,2021,0.0,Yavapai County
04025,Unidentified disaster,2022,1000000.0,Yavapai County
04025,Unidentified disaster,2023,3327041.58,Yavapai County
04027,none,2020,0.0,Yuma County
04027,none,2021,0.0,Yuma County
04027,Unidentified disaster,2022,4473854.0,Yuma County
04027,Unidentified disaster,2023,10517000.0,Yuma County
05001,none,2020,0.0,Arkansas County
05001,none,2021,0.0,Arkansas County
05001,none,2022,0.0,Arkansas County
05001,none,2023,0.0,Arkansas County
05003,none,2020,0.0,Ashley County
05003,Unidentified disaster,2021,35000.0,Ashley County
05003,none,2022,0.0,Ashley County
05003,none,2023,0.0,Ashley County
05005,none,2020,0.0,Baxter County
05005,none,2021,0.0,Baxter County
05005,none,2022,0.0,Baxter County
05005,none,2023,0.0,Baxter County
05007,Unidentified disaster,2020,5800000.0,Benton County
05007,none,2021,0.0,Benton County
05007,none,2022,0.0,Benton County
05007,Unidentified disaster,2023,1540437.5,Benton County
05009,none,2020,0.0,Boone County
05009,none,2021,0.0,Boone County
05009,none,2022,0.0,Boone County
05009,Unidentified disaster,2023,40000.0,Boone County
05011,none,2020,0.0,Bradley County
05011,none,2021,0.0,Bradley County
05011,none,2022,0.0,Bradley County
05011,none,2023,0.0,Bradley County
05013,none,2020,0.0,Calhoun County
05013,none,2021,0.0,Calhoun County
05013,none,2022,0.0,Calhoun County
05013,Unidentified disaster,2023,46400.0,Calhoun County
05015,none,2020,0.0,Carroll County
05015,none,2021,0.0,Carroll County
05015,none,2022,0.0,Carroll County
05015,none,2023,0.0,Carroll County
05017,none,2020,0.0,Chicot County
05017,Unidentified disaster,2021,35000.0,Chicot County
05017,none,2022,0.0,Chicot County
05017,none,2023,0.0,Chicot County
05019,none,2020,0.0,Clark County
05019,Unidentified disaster,2021,40000.0,Clark County
05019,none,2022,0.0,Clark County
05019,none,2023,0.0,Clark County
05021,none,2020,0.0,Clay County
05021,none,2021,0.0,Clay County
05021,none,2022,0.0,Clay County
05021,Unidentified disaster,2023,32600.0,Clay County
05023,Unidentified disaster,2020,7669678.0,Cleburne County
05023,Unidentified disaster,2021,6357450.0,Cleburne County
05023,none,2022,0.0,Cleburne County
05023,none,2023,0.0,Cleburne County
05025,none,2020,0.0,Cleveland County
05025,none,2021,0.0,Cleveland County
05025,none,2022,0.0,Cleveland County
05025,none,2023,0.0,Cleveland County
05027,Unidentified disaster,2020,447300.0,Columbia County
05027,none,2021,0.0,Columbia County
05027,Unidentified disaster,2022,49968.0,Columbia County
05027,none,2023,0.0,Columbia County
05029,none,2020,0.0,Conway County
05029,none,2021,0.0,Conway County
05029,none,2022,0.0,Conway County
05029,none,2023,0.0,Conway County
05031,none,2020,0.0,Craighead County
05031,none,2021,0.0,Craighead County
05031,none,2022,0.0,Craighead County
05031,Unidentified disaster,2023,5366311.37,Craighead County
05033,Unidentified disaster,2020,1104910.0,Crawford County
05033,none,2021,0.0,Crawford County
05033,Unidentified disaster,2022,96810.0,Crawford County
05033,none,2023,0.0,Crawford County
05035,none,2020,0.0,Crittenden County
05035,none,2021,0.0,Crittenden County
05035,none,2022,0.0,Crittenden County
05035,none,2023,0.0,Crittenden County
05037,none,2020,0.0,Cross County
05037,none,2021,0.0,Cross County
05037,none,2022,0.0,Cross County
05037,Unidentified disaster,2023,11139282.0,Cross County
05039,none,2020,0.0,Dallas County
05039,none,2021,0.0,Dallas County
05039,Unidentified disaster,2022,49626.0,Dallas County
05039,none,2023,0.0,Dallas County
05041,none,2020,0.0,Desha County
05041,none,2021,0.0,Desha County
05041,none,2022,0.0,Desha County
05041,none,2023,0.0,Desha County
05043,none,2020,0.0,Drew County
05043,none,2021,0.0,Drew County
05043,none,2022,0.0,Drew County
05043,none,2023,0.0,Drew County
05045,Unidentified disaster,2020,194000.0,Faulkner County
05045,Unidentified disaster,2021,1407735.24,Faulkner County
05045,none,2022,0.0,Faulkner County
05045,none,2023,0.0,Faulkner County
05047,Unidentified disaster,2020,2040985.93,Franklin County
05047,none,2021,0.0,Franklin County
05047,none,2022,0.0,Franklin County
05047,none,2023,0.0,Franklin County
05049,none,2020,0.0,Fulton County
05049,none,2021,0.0,Fulton County
05049,none,2022,0.0,Fulton County
05049,Unidentified disaster,2023,15000.0,Fulton County
05051,none,2020,0.0,Garland County
05051,none,2021,0.0,Garland County
05051,none,2022,0.0,Garland County
05051,none,2023,0.0,Garland County
05053,none,2020,0.0,Grant County
05053,none,2021,0.0,Grant County
05053,none,2022,0.0,Grant County
05053,Unidentified disaster,2023,31635.0,Grant County
05055,none,2020,0.0,Greene County
05055,none,2021,0.0,Greene County
05055,none,2022,0.0,Greene County
05055,none,2023,0.0,Greene County
05057,none,2020,0.0,Hempstead County
05057,none,2021,0.0,Hempstead County
05057,none,2022,0.0,Hempstead County
05057,none,2023,0.0,Hempstead County
05059,none,2020,0.0,Hot Spring County
05059,Unidentified disaster,2021,40000.0,Hot Spring County
05059,none,2022,0.0,Hot Spring County
05059,none,2023,0.0,Hot Spring County
05061,none,2020,0.0,Howard County
05061,none,2021,0.0,Howard County
05061,none,2022,0.0,Howard County
05061,Unidentified disaster,2023,552700.0,Howard County
05063,Unidentified disaster,2020,2995702.0,Independence County
05063,none,2021,0.0,Independence County
05063,none,2022,0.0,Independence County
05063,Unidentified disaster,2023,760000.0,Independence County
05065,none,2020,0.0,Izard County
05065,none,2021,0.0,Izard County
05065,none,2022,0.0,Izard County
05065,Unidentified disaster,2023,40000.0,Izard County
05067,Unidentified disaster,2020,40000.0,Jackson County
05067,none,2021,0.0,Jackson County
05067,none,2022,0.0,Jackson County
05067,none,2023,0.0,Jackson County
05069,none,2020,0.0,Jefferson County
05069,Unidentified disaster,2021,68932.5,Jefferson County
05069,none,2022,0.0,Jefferson County
05069,none,2023,0.0,Jefferson County
05071,none,2020,0.0,Johnson County
05071,Unidentified disaster,2021,40000.0,Johnson County
05071,none,2022,0.0,Johnson County
05071,none,2023,0.0,Johnson County
05073,none,2020,0.0,Lafayette County
05073,none,2021,0.0,Lafayette County
05073,none,2022,0.0,Lafayette County
05073,Unidentified disaster,2023,46400.0,Lafayette County
05075,none,2020,0.0,Lawrence County
05075,none,2021,0.0,Lawrence County
05075,none,2022,0.0,Lawrence County
05075,none,2023,0.0,Lawrence County
05077,none,2020,0.0,Lee County
05077,none,2021,0.0,Lee County
05077,none,2022,0.0,Lee County
05077,none,2023,0.0,Lee County
05079,none,2020,0.0,Lincoln County
05079,none,2021,0.0,Lincoln County
05079,none,2022,0.0,Lincoln County
05079,none,2023,0.0,Lincoln County
05081,Unidentified disaster,2020,35000.0,Little River County
05081,none,2021,0.0,Little River County
05081,none,2022,0.0,Little River County
05081,none,2023,0.0,Little River County
05083,none,2020,0.0,Logan County
05083,none,2021,0.0,Logan County
05083,none,2022,0.0,Logan County
05083,none,2023,0.0,Logan County
05085,none,2020,0.0,Lonoke County
05085,Unidentified disaster,2021,10621406.25,Lonoke County
05085,Unidentified disaster,2022,10368750.0,Lonoke County
05085,Unidentified disaster,2023,603470.0,Lonoke County
05087,none,2020,0.0,Madison County
05087,none,2021,0.0,Madison County
05087,none,2022,0.0,Madison County
05087,Unidentified disaster,2023,20000.0,Madison County
05089,none,2020,0.0,Marion County
05089,none,2021,0.0,Marion County
05089,none,2022,0.0,Marion County
05089,none,2023,0.0,Marion County
05091,none,2020,0.0,Miller County
05091,none,2021,0.0,Miller County
05091,none,2022,0.0,Miller County
05091,none,2023,0.0,Miller County
05093,none,2020,0.0,Mississippi County
05093,none,2021,0.0,Mississippi County
05093,none,2022,0.0,Mississippi County
05093,none,2023,0.0,Mississippi County
05095,none,2020,0.0,Monroe County
05095,Unidentified disaster,2021,33809446.86,Monroe County
05095,Unidentified disaster,2022,10825084.21,Monroe County
05095,Unidentified disaster,2023,35000.0,Monroe County
05097,none,2020,0.0,Montgomery County
05097,Unidentified disaster,2021,40000.0,Montgomery County
05097,none,2022,0.0,Montgomery County
05097,none,2023,0.0,Montgomery County
05099,Unidentified disaster,2020,1873771.8,Nevada County
05099,none,2021,0.0,Nevada County
05099,none,2022,0.0,Nevada County
05099,none,2023,0.0,Nevada County
05101,none,2020,0.0,Newton County
05101,none,2021,0.0,Newton County
05101,none,2022,0.0,Newton County
05101,none,2023,0.0,Newton County
05103,none,2020,0.0,Ouachita County
05103,none,2021,0.0,Ouachita County
05103,none,2022,0.0,Ouachita County
05103,none,2023,0.0,Ouachita County
05105,none,2020,0.0,Perry County
05105,Unidentified disaster,2021,40000.0,Perry County
05105,none,2022,0.0,Perry County
