county,Hazard,totalSubapplicationAmount,Hazard_color
26085,Flooding,29219.84,00AAFF
26093,Flooding,1758050.0,00AAFF
26103,Severe storm,1699319.5,FFFF00
26111,Flooding,360000.0,00AAFF
26115,Flooding,334331.25,00AAFF
26123,Flooding,29219.84,00AAFF
26125,Flooding,12022320.0,00AAFF
26125,Tornado,580000.0,4F666A
26129,Flooding,61038.0,00AAFF
26133,Flooding,29219.84,00AAFF
26139,Infrastructure failure,2860924.0,884DFF
26159,Severe storm,1359950.0,FFFF00
26161,Flooding,1758050.0,00AAFF
26161,Infrastructure failure,9468000.0,884DFF
26163,Flooding,176233559.16,00AAFF
26163,Infrastructure failure,5180000.0,884DFF
26163,Severe storm,37280248.0,FFFF00
27007,Tornado,718731.0,4F666A
27009,Flooding,17048810.0,00AAFF
27013,Tornado,4915391.14,4F666A
27033,Tornado,7921164.0,4F666A
27037,Flooding,13204561.5,00AAFF
27037,Infrastructure failure,3500059.0,884DFF
27049,Flooding,13204561.5,00AAFF
27053,Flooding,1554000.0,00AAFF
27063,Flooding,3331637.0,00AAFF
27083,Infrastructure failure,2733175.0,884DFF
27103,Tornado,4915391.14,4F666A
27105,Flooding,3331637.0,00AAFF
27107,Flooding,1400000.67,00AAFF
27123,Flooding,10678821.0,00AAFF
27123,Infrastructure failure,3871479.0,884DFF
27123,Severe storm,225000.0,FFFF00
27127,Tornado,7921164.0,4F666A
27131,Flooding,13204561.5,00AAFF
27137,Severe storm,15547015.0,FFFF00
27145,Flooding,17048810.0,00AAFF
27163,Flooding,8000000.0,00AAFF
27163,Severe storm,225000.0,FFFF00
28011,Flooding,3600100.0,00AAFF
28011,Severe storm,367500.0,FFFF00
28033,Tornado,1300000.0,4F666A
28047,Flooding,708718.65,00AAFF
28049,Infrastructure failure,8798291.68,884DFF
28051,Tornado,727824.0,4F666A
28057,Flooding,4200000.0,00AAFF
28059,Severe storm,12880500.0,FFFF00
28059,Tropical cyclone (Hurricane/Typhoon),22705500.0,00AAFF
28081,Flooding,4200000.0,00AAFF
28089,Flooding,8523731.25,00AAFF
28095,Flooding,4200000.0,00AAFF
28107,Flooding,5394058.0,00AAFF
28119,Flooding,5394058.0,00AAFF
28121,Landslide/Debris flow,11100000.0,644117
28129,Landslide/Debris flow,11100000.0,644117
28133,Flooding,2750100.0,00AAFF
28133,Severe storm,367500.0,FFFF00
28163,Tornado,727824.0,4F666A
29003,Flooding,460284.3,00AAFF
29007,Infrastructure failure,40477.06,884DFF
29009,Tornado,2487240.0,4F666A
29017,Tornado,1907587.0,4F666A
29023,Earthquake,1288600.0,FFFFFF
29027,Flooding,1114647.1600000001,00AAFF
29035,Earthquake,1288600.0,FFFFFF
29043,Flooding,551870.0,00AAFF
29047,Severe storm,6224400.0,FFFF00
29051,Flooding,1114647.1600000001,00AAFF
29053,Tornado,1497300.0,4F666A
29055,Infrastructure failure,117481.32,884DFF
29055,Tornado,1283870.0,4F666A
29065,Tornado,1283870.0,4F666A
29073,Infrastructure failure,117481.32,884DFF
29077,Tornado,23000000.0,4F666A
29085,Tornado,1627762.0,4F666A
29091,Tornado,2985000.0,4F666A
29097,Flooding,1500000.0,00AAFF
29097,Tornado,2577750.0,4F666A
29099,Flooding,823914.0,00AAFF
29099,Severe storm,5400.0,FFFF00
29101,Tornado,2308635.0,4F666A
29105,Tornado,0.0,4F666A
29109,Flooding,551870.0,00AAFF
