county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01049,35975,0.014700550,0.001923817,0.000000000,0.013628795
01049,35989,0.045803230,0.011542901,0.010221465,0.042987063
01049,35966,0.019805294,0.011927664,0.010221465,0.019136672
01049,35956,0.000027895,0.000000000,0.000000000,0.000025618
01049,35988,0.024910039,0.011542901,0.028960818,0.024080953
01049,35961,0.054757455,0.017699115,0.037478705,0.052030229
01049,35967,0.218053502,0.435167372,0.482112436,0.236480082
01049,35986,0.108427013,0.098114659,0.100511073,0.107621365
01049,35954,0.001813161,0.000384763,0.000000000,0.001690790
01049,35983,0.000585790,0.000000000,0.000000000,0.000537979
01049,35963,0.023710564,0.002693344,0.013628620,0.022159600
01049,35765,0.003375268,0.000000000,0.003407155,0.003151018
01049,35981,0.032692683,0.024624856,0.056218058,0.032509287
01049,35771,0.002231582,0.000000000,0.003407155,0.002100679
01049,35971,0.065496946,0.035013467,0.063032368,0.063430255
01049,35968,0.102457530,0.209311274,0.074957411,0.109158448
01049,35979,0.011994756,0.004617160,0.000000000,0.011323172
01049,35951,0.028620045,0.005386687,0.003407155,0.026693993
01049,35962,0.088593824,0.038091574,0.061328790,0.084821314
01049,35957,0.026667411,0.005001924,0.006814310,0.024926348
01049,35978,0.070741164,0.048095421,0.032367973,0.068656334
01049,35984,0.030516890,0.015390535,0.010221465,0.029204560
01049,35959,0.000808949,0.000000000,0.000000000,0.000742923
01051,35010,0.009449735,0.002226463,0.031372549,0.009193100
01051,36080,0.034915558,0.009860051,0.131372549,0.034257095
01051,36024,0.086428727,0.060114504,0.041176471,0.084073456
01051,36092,0.258922730,0.372137405,0.300000000,0.267312187
01051,36051,0.004918708,0.001272265,0.000000000,0.004607679
01051,36020,0.012284655,0.005407125,0.011764706,0.011797440
01051,36067,0.000048460,0.002862595,0.000000000,0.000244853
01051,36025,0.043299169,0.034351145,0.035294118,0.042582081
01051,36022,0.094012745,0.024173028,0.027450980,0.088369505
01051,36026,0.007172106,0.001590331,0.003921569,0.006744574
01051,35136,0.000048460,0.000000000,0.000000000,0.000044519
01051,36078,0.106442781,0.126908397,0.084313725,0.107623817
01051,36054,0.196069880,0.232188295,0.080392157,0.197284363
01051,36093,0.119769330,0.061704835,0.023529412,0.114613244
01051,36066,0.026216956,0.065203562,0.229411765,0.031252087
