,name,iso3,year,pop_t,pop_u,pop_r,wat_pop_sm_t,wat_pop_sm_r,wat_pop_sm_u,wat_pop_basal_sub_t,wat_pop_basal_sub_r,wat_pop_basal_sub_u,wat_pop_unimp_t,wat_pop_unimp_r,wat_pop_unimp_u,wat_pop_ns_t,wat_pop_ns_r,wat_pop_ns_u
2322,Iraq,IRQ,2022,44496.122,3174976.463000977,-3130480.341000977,2658315.409385641,-149146929.56477597,205103479.50986308,1719339.997451358,-147720111.15704098,111786892.31251839,0.0,-2.780425082172165e-09,0.0,32753.066464370237,-8044088.159860489,0.0
2345,Ireland,IRL,2022,5023.109,322398.236525383,-317375.127525383,482175.2905780975,,,0.0,,,20135.6094219025,-939679.4928994842,1480878.3563999606,0.0,-0.0,0.0
2368,Isle of Man,IMN,2022,84.519,4502.411641262055,-4417.892641262055,8427.375239164821,,,14.70801530614753,,,9.816745529030824,,,0.0,,
2391,Israel,ISR,2022,9038.309,838420.731137062,-829382.422137062,899051.044881866,-82424829.04682893,83404574.65799254,4779.855118133948,-513413.16687727027,437498.45571365854,0.0,-0.0,0.0,0.0,-0.0,0.0
2414,Italy,ITA,2022,59037.474,4230448.587910446,-4171411.1139104464,5473397.131460446,,,425452.1698459229,,,4898.098693631591,,,0.0,,
2437,Jamaica,JAM,2022,2827.377,161183.10637659076,-158355.72937659075,,,,,,,5245.5812190839915,-406811.418206941,212288.51866069034,4852.262809295511,-560639.2313101995,54876.972601362926
2460,Japan,JPN,2022,123951.692,11397978.064822325,-11274026.372822326,12228894.22768019,,,59272.70395746717,,,107002.2683623424,,,0.0,,
2483,Jordan,JOR,2022,11285.869,1036347.4458222352,-1025061.5768222352,967302.0247880456,,,149653.49128288333,,,9330.462836073277,-2421141.23473474,715179.3935566944,676.2966495629886,-40858.9544521343,63953.00088169013
2506,Kazakhstan,KAZ,2022,19397.998,1124889.9365788954,-1105491.9385788955,,,,,,,,,0.0,,,0.0
2529,Kenya,KEN,2022,54027.487,1566905.1186176303,-1512877.6316176304,,,,,,,504791.0493117812,-17432380.638633117,6279979.176668377,1033932.7638272963,-37056884.03496235,9436955.210178984
2552,Kiribati,KIR,2022,131.232,7487.835780395508,-7356.603780395508,1891.587846693206,-47821.81739517931,152525.93497002762,8041.901011142954,-390118.2427333278,505348.6069977989,2625.4688006502074,-282131.41384080885,46426.33852015039,0.0,-0.0,0.0
2575,Kuwait,KWT,2022,4268.873,426887.29999999993,-422618.4269999999,426887.29999999993,,42688729.99999999,0.0,,0.0,0.0,,0.0,0.0,,0.0
2598,Kyrgyzstan,KGZ,2022,6630.623,248389.75849017332,-241759.13549017333,507157.469944996,-16266756.856478544,22814517.348702118,94875.29687567128,-4469097.926293191,1821998.9888469744,12251.90751102048,-714300.0148640972,0.0,29777.246583709046,-1736049.8277120134,0.0
2621,Lao People's Democratic Republic,LAO,2022,7529.475,283048.0170767784,-275518.5420767784,134567.3462141831,-3411294.0053698607,7638740.48992811,508915.1433578047,-18209461.36692268,19835106.461008277,78846.02788144595,-4135800.458322061,830954.7567414541,4311.26740472625,-252784.73453582046,0.0
2644,Latvia,LVA,2022,1850.651,126843.6212343216,-124992.9702343216,179719.0731179653,,,3298.3322371584127,,,780.4893518885002,-141133.47232367253,12308.642922521216,0.0,-0.0,0.0
2667,Lebanon,LBN,2022,5489.739,490025.0883141403,-484535.3493141403,261860.5503,,,246489.28109999993,,,0.0,,,0.0,,
