,name,iso3,year,pop_t,pop_u,pop_r,wat_pop_sm_t,wat_pop_sm_r,wat_pop_sm_u,wat_pop_basal_sub_t,wat_pop_basal_sub_r,wat_pop_basal_sub_u,wat_pop_unimp_t,wat_pop_unimp_r,wat_pop_unimp_u,wat_pop_ns_t,wat_pop_ns_r,wat_pop_ns_u
2690,Lesotho,LSO,2022,2305.825,69043.32420258521,-66737.49920258521,65064.58792861585,-616946.7600034395,5013129.394769341,105498.92102355004,-3778007.5556159974,1405164.398153016,23639.73011090792,-871448.4570472381,254618.81604375472,11856.964163490105,-471159.42021301703,45247.50247176275
2713,Liberia,LBR,2022,5302.681,281386.7599828758,-276084.0789828758,,,,,,,24454.923618786186,-1525701.502471798,1070118.339523171,51971.19068646842,-5765164.7489653295,0.0
2736,Libya,LBY,2022,6812.341,553856.9093133163,-547044.5683133163,,,,,,,738.9768730821886,,,0.0,,
2759,Liechtenstein,LIE,2022,39.327,571.7359677057266,-532.4089677057266,3932.7,,,0.0,,,0.0,,,0.0,,
2782,Lithuania,LTU,2022,2750.055,188282.52648525237,-185532.47148525238,261204.33927876982,,18701029.954394802,8409.407470821221,,127222.69413043575,5391.75325040895,-1153496.1498520302,0.0,0.0,-0.0,0.0
2805,Luxembourg,LUX,2022,647.599,59502.04652536774,-58854.44752536774,64458.17194157255,-5680910.133126052,5938304.2432317,227.86798967933228,-121858.13360127532,11900.409305073717,73.860068748122,-82676.4858094464,0.0,0.0,-0.0,0.0
2828,Madagascar,MDG,2022,29611.714,1180974.3768443223,-1151362.6628443224,658541.5192148149,-11053691.707945127,48763315.12520646,924674.9292447593,-30427574.099841505,45421430.31935773,904714.3548338955,-49538302.5309941,13877035.93513929,339496.6600896601,-21240970.658999622,1107612.8503885
2851,Malawi,MWI,2022,20405.317,366887.5903191872,-346482.2733191872,362338.838709938,-3523225.590331613,19215333.565335304,1104230.2637682902,-20311181.978989817,12312117.359849513,108186.51022513647,-1948962.735813629,1404406.7808184768,40156.81081042239,-812586.4474278314,90572.49153697878
2874,Malaysia,MYS,2022,33938.221,2654444.170579422,-2620505.949579422,3188221.6696141427,,,109095.71400087775,,,84567.39249906946,-24640992.053282626,1265368.8009280208,,,238899.97535214794
2897,Maldives,MDV,2022,523.787,21756.016464351655,-21232.229464351654,,,,,,,206.53203339904377,-0.0,20653.228902355262,0.0,-0.0,0.0
2920,Mali,MLI,2022,22593.59,1026584.9550355148,-1003991.3650355148,,,,,,,248785.65250195106,-19875408.590494536,474083.45848723524,15510.565537924751,-1263205.8731632894,0.0
2943,Malta,MLT,2022,533.286,50595.509249999996,-50062.223249999995,53207.2323873275,,,121.36761267249452,,,0.0,-0.0,0.0,0.0,-0.0,0.0
2966,Marshall Islands,MHL,2022,41.569,3263.998057601929,-3222.429057601929,,,,,,,160.7918088995819,-25107.305793302294,9122.215651144788,0.0,-0.0,0.0
2989,Martinique,MTQ,2022,367.507,32805.51213069153,-32438.00513069153,36298.530855367295,,,347.8729053565838,,,104.29623927612143,,,0.0,,
3012,Mauritania,MRT,2022,4736.139,269595.24188689044,-264859.1028868904,,,,,,,62863.9173178617,-7983275.308267172,136943.6893531444,0.0,-0.0,0.0
3035,Mauritius,MUS,2022,1299.469,53031.33167454912,-51731.86267454912,,,,,,,0.0005859375016834751,-0.0,0.0,0.0,-0.0,0.0
3058,Mayotte,MYT,2022,326.101,14833.030105903628,-14506.929105903628,30151.659444764795,,,1275.0786283715088,,,1183.3619268636967,,,,,
3081,Mexico,MEX,2022,127504.125,10366085.75161171,-10238581.62661171,5487507.157471826,,,7225473.885898759,,,37431.45662941494,-16073594.886710389,0.0,0.0,-0.0,0.0
3104,Micronesia (Federated States of),FSM,2022,114.164,2650.545479995728,-2536.3814799957277,,,,,,,,,,,,
3127,Monaco,MCO,2022,36.469,3646.900278236388,-3610.431278236388,3646.9,,364690.0278236388,0.0,,0.0,0.0,,0.0,0.0,,0.0
3150,Mongolia,MNG,2022,3398.366,234249.369417099,-230851.00341709898,133488.34337794408,-2936620.1323167845,12005675.60986914,150313.37187674025,-10853399.983863622,10067181.097363003,14292.496628993145,-2744771.8239814234,173838.46915697565,17323.696673444083,-3787572.327842837,0.0
