,ISO3,Area,Water Stress net change,Water Stress pct change,Water Stress 2002,Water Stress 2022
114,NIC,Nicaragua,-0.31892632899999995,-0.12557012230100573,2.539826538,2.220900209
115,NER,Niger,7.188775497,1.8759058442217051,3.832162216,11.020937713
116,NGA,Nigeria,1.2882170539999986,0.15372518544152727,8.38,9.668217054
117,MKD,North Macedonia,37.228944821,2.429406190734845,15.324298161,52.553242982
118,NOR,Norway,0.1017696910000001,0.05239815898270026,1.942237914,2.044007605
119,OMN,Oman,26.964285714,0.3004377238328691,89.75,116.714285714
120,PAK,Pakistan,2.5694742660000003,0.023919045870889562,107.423777682,109.993251948
121,PSE,Palestine,1.9493177390000014,0.04222885982556202,46.160794941,48.11011268
122,PAN,Panama,,,,0.90107111
123,PNG,Papua New Guinea,0.02442495800000001,0.22653904095216135,0.107817875,0.132242833
124,PRY,Paraguay,1.208663804,1.9285057557744172,0.626735907,1.835399711
125,PER,Peru,,,,4.82842772
126,PHL,Philippines,,,,27.831517111
127,POL,Poland,-8.078920042,-0.19916375118414614,40.564209069,32.485289027
128,PRT,Portugal,-8.174410560000002,-0.39894395096734214,20.490122836,12.315712276
129,PRI,Puerto Rico,-0.8528689440000008,-0.04183092422512454,20.388479571,19.535610627
130,QAT,Qatar,109.06896551800003,0.3387597729490979,321.965517241,431.034482759
131,KOR,Republic of Korea,0.08464681799999596,0.000994240258049877,85.137186223,85.221833041
132,MDA,Republic of Moldova,-0.2970002969999985,-0.02309468822188848,12.86011286,12.563112563
133,ROU,Romania,-1.0027151019999998,-0.1161353286044836,8.634023032,7.63130793
134,RUS,Russian Federation,-0.06020348400000053,-0.0143943234762919,4.182446233,4.122242749
135,RWA,Rwanda,13.88351342,2.1984413465117787,6.315162077,20.198675497
136,KNA,Saint Kitts and Nevis,,,,50.833333333
137,LCA,Saint Lucia,,,,14.3
138,VCT,Saint Vincent and the Grenadines,-1.5174444439999988,-0.16113123395878234,9.417444444,7.9
139,STP,Sao Tome and Principe,0.946549661,1.0182364300505886,0.929597128,1.876146789
140,SAU,Saudi Arabia,126.38645833399994,0.14907927442953062,847.780208333,974.166666667
141,SEN,Senegal,4.469165338,0.3785091965473081,11.80728336,16.276448698
142,SRB,Serbia,,,,5.737631015
143,SLE,Sierra Leone,0.032663551999999985,0.0705276978088358,0.463130841,0.495794393
144,SGP,Singapore,-304.990027333,-0.901683105181817,338.24525,33.255222667
145,SVK,Slovakia,-2.28389191,-0.48499312855908067,4.709122203,2.425230293
146,SVN,Slovenia,-0.4881676810000002,-0.0802935943228051,6.079783638,5.591615957
147,SOM,Somalia,0.02008032100000179,0.0008193487578152412,24.507660271,24.527740592
148,ZAF,South Africa,25.460479322000005,0.6042627569904904,42.134781645,67.595260967
149,SSD,South Sudan,,,,4.226075787
150,ESP,Spain,-5.153595398,-0.1064624503470172,48.407634628,43.25403923
151,LKA,Sri Lanka,-0.2718092559999974,-0.0029850378371083465,91.057223001,90.785413745
152,SDN,Sudan,,,,118.656387665
153,SUR,Suriname,-0.2313448789999999,-0.055319801581262804,4.181954244,3.950609365
154,SWE,Sweden,-0.27849927900000004,-0.07212257112130163,3.861471862,3.582972583
155,CHE,Switzerland,-3.1045003820000003,-0.3232724384944056,9.603356217,6.498855835
156,SYR,Syrian Arab Republic,-21.325140262000005,-0.1463781404741718,145.685279188,124.360138926
157,TJK,Tajikistan,-8.811188810999994,-0.11188178528118412,78.754453094,69.943264283
158,THA,Thailand,,,,23.013935183
159,TLS,Timor-Leste,,,,28.268210323
160,TGO,Togo,0.821292776,0.31952662738928955,2.570342205,3.391634981
161,TTO,Trinidad and Tobago,0.5925030230000026,0.030024509804573756,19.733978235,20.326481258
162,TUN,Tunisia,26.407333112999993,0.3682719546710208,71.706066069,98.113399182
163,TKM,Turkmenistan,1.2500429329999747,0.009331201901927183,133.963764383,135.213807316
164,TUR,Türkiye,18.265844661000003,0.6166583357907377,29.620688801,47.886533462
165,UGA,Uganda,2.5201280870000002,0.7618586637223004,3.307868253,5.82799634
166,UKR,Ukraine,-15.731407100000002,-0.7141050675053611,22.029541332,6.298134232
167,ARE,United Arab Emirates,9.942222222000055,0.006628187426148238,1499.991111111,1509.933333333
168,GBR,United Kingdom of Great Britain and Northern Ireland,-7.199550491999998,-0.3340208216930692,21.554196698,14.354646206
169,TZA,United Republic of Tanzania,0.0,0.0,12.96324081,12.96324081
170,USA,United States of America,-1.9841571599999988,-0.06583263243343936,30.139416983,28.155259823
171,URY,Uruguay,2.081330748000001,0.20874503960692525,9.970683624,12.052014372
172,UZB,Uzbekistan,-27.803269286000017,-0.1843331115131738,150.831660453,123.028391167
173,VEN,Venezuela (Bolivarian Republic of),3.197773334,0.7363741176728785,4.342593333,7.540366667
174,VNM,Viet Nam,1.320340183999999,0.07854504058951403,16.809975195,18.130315379
175,YEM,Yemen,5.171428571999996,0.0314199745435465,164.59047619,169.761904762
176,ZMB,Zambia,0.0,0.0,2.835497836,2.835497836
177,ZWE,Zimbabwe,6.615465593000003,0.16758130676849958,39.476154713,46.091620306
